model,train_pct,ACC,SEN,SPE,PRE,F1,BAL_ACC,status
DCNN,80,0.300000,0.500000,0.250000,0.142857,0.222222,0.375000,OK
DCNN,90,0.600000,0.000000,1.000000,0.000000,0.000000,0.500000,OK
EfficientNetV2B0,80,0.500000,0.500000,0.500000,0.200000,0.285714,0.500000,OK
EfficientNetV2B0,90,0.600000,0.500000,0.666667,0.500000,0.500000,0.583333,OK
MobileNetV2,80,0.700000,1.000000,0.625000,0.400000,0.571429,0.812500,OK
MobileNetV2,90,0.400000,0.500000,0.333333,0.333333,0.400000,0.416667,OK
STIDNet,80,0.800000,0.000000,1.000000,0.000000,0.000000,0.500000,OK
STIDNet,90,0.200000,0.500000,0.000000,0.250000,0.333333,0.250000,OK
P1-Proposed,80,0.200000,1.000000,0.000000,0.200000,0.333333,0.500000,OK
P1-Proposed,90,0.600000,0.000000,1.000000,0.000000,0.000000,0.500000,OK
